Hostsp;SampleID;E;PPZ-2a;Peramine;Chanoclavine;Ergine;Ergovaline;N-acetylnorloline;N-acetylloline;N-formylloline;N-methylloline;Loline;Emindole_SB;Paspaline;13-Desoxypaxilline_RT28.3;Paxilline ;Paxilline_IsomerRT30.7;Paxitriol_Isomer;Terpendole_C;Terpendole_E;Terpendole_I;Terpendole_I_Isomer_RT30.7  ;Terpendole_I_Isomer_RT31.2  ;Terpendole_J
Fyves;Fyves_1;E+;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fyves;Fyves_2;E+;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fyves;Fyves_3;E+;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;TRACES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fyves;Fyves_4;E+;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fyves;Fyves_5;E+;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fyves;Fyves_C;E-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Froth;Froth_1;E+;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO
Froth;Froth_2;E+;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Froth;Froth_3;E+;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;NO;YES;YES;YES;YES;YES;YES;YES;NO
Froth;Froth_4;E+;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Froth;Froth_5;E+;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Froth;Froth_C;E-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fnigr;Fnigr_1;E+;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fnigr;Fnigr_2;E+;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fnigr;Fnigr_3;E+;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fnigr;Fnigr_4;E+;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fnigr;Fnigr_5;E+;YES;NO;TRACES;NO;TRACES;NO;NO;NO;NO;NO;NO;YES;NO;NO;YES;NO;YES;NO;NO;NO;NO;NO
Fnigr;Fnigr_C;E-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fprui;Fprui_1;E+;YES;TRACES;TRACES;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fprui;Fprui_2;E+;YES;NO;TRACES;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fprui;Fprui_3;E+;YES;NO;TRACES;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fprui;Fprui_4;E+;YES;NO;TRACES;NO;TRACES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fprui;Fprui_5;E+;YES;NO;TRACES;NO;TRACES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fprui;Fprui_C;E-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Farun;Farun_1;E+;NO;NO;YES;TRACES;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Farun;Farun_2;E+;NO;NO;YES;TRACES;YES;NO;YES;YES;TRACES;NO;YES;TRACES;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
Farun;Farun_3;E+;NO;NO;YES;TRACES;YES;TRACES;YES;YES;NO;NO;TRACES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Farun;Farun_4;E+;NO;NO;YES;TRACES;YES;YES;YES;YES;YES;TRACES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Farun;Farun_5;E+;NO;NO;YES;TRACES;YES;YES;YES;YES;TRACES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Farun;Farun_C;E-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
