Holobiont_ID;Host_sp;measurement_ID;nucleids;nucleids_ST;mean;mean_ST;CV;CV_ST;pg/2C;pg/2C_ST
Ftrich;Festuca trichophylla;UZ_4.22(1)/Pisum1;5069;13259;24189;18633;2,61;2,67;11,80;9,09
Ftrich;Festuca trichophylla;UZ_4.22(1)/Pisum2;5722;28989;22377;17336;2,85;3,88;11,73;9,09
Ftrich;Festuca trichophylla;UZ_1.23(1)/Pisum1;5014;28322;31684;23379;2,83;2,81;12,32;9,09
Ftrich;Festuca trichophylla;UZ_1.23(1)/Pisum2;3168;7692;30019;22422;3,78;3,17;12,17;9,09
Ftrich;Festuca trichophylla;UZ_4.22(2)/Pisum1;7165;5916;29070;21282;3,33;3,82;12,42;9,09
Ftrich;Festuca trichophylla;UZ_4.22(2)/Pisum2;1956;1688;26995;20146;3,88;3,99;12,18;9,09
Flamb;Festuca lambinonii;UZ_13.22(5)-Secale1;9567;5447;16238;28668;2,76;2,07;9,17;16,19
Flamb;Festuca lambinonii;UZ_13.22(5)-Secale2;11381;6751;20365;35840;2,76;2,29;9,20;16,19
Flamb;Festuca lambinonii;UZ_13.22(7)-Secale1;15413;5816;19037;33129;2,47;2,14;9,30;16,19
Flamb;Festuca lambinonii;UZ_13.22(7)-Secale2;10928;5125;19590;34261;2,77;2,22;9,26;16,19
Flamb;Festuca lambinonii;UZ_13.22(3)-Secale1;10435;6709;19936;35718;2,91;2,52;9,04;16,19
Flamb;Festuca lambinonii;UZ_13.22(3)-Secale2;12211;5913;18896;33164;2,80;2,81;9,22;16,19
Flamb;Festuca lambinonii;UZ_13.22(2)-Secale1;9995;5219;14756;25865;2,86;2,08;9,24;16,19
Flamb;Festuca lambinonii;UZ_13.22(2)-Secale2;5017;5752;13804;24486;3,02;2,43;9,13;16,19
Flamb;Festuca lambinonii;UZ_13.22(4)-Secale1;7749;5399;12155;21518;2,91;2,01;9,15;16,19
Flamb;Festuca lambinonii;UZ_13.22(4)-Secale2;15157;5273;12268;21550;2,60;2,42;9,22;16,19
Fyves;Festuca yvesii;UZ_7.23(1)-Pisum1;5165;6541;24438;17125;2,23;2,30;12,97;9,09
Fyves;Festuca yvesii;UZ_7.23(1)-Pisum2;5020;10271;23179;16308;2,55;2,92;12,92;9,09
Fyves;Festuca yvesii;UZ_7.23(11)-Pisum1;7496;5806;26621;18429;2,44;2,49;13,13;9,09
Fyves;Festuca yvesii;UZ_7.23(11)-Pisum2;6905;5597;26333;18223;2,24;2,26;13,14;9,09
Fyves;Festuca yvesii;UZ_7.23(10)-Pisum1;8623;5411;25978;17690;2,42;2,12;13,35;9,09
Fyves;Festuca yvesii;UZ_7.23(10)-Pisum2;12058;5031;24939;17058;2,37;2,29;13,29;9,09
Fyves;Festuca yvesii;UZ_7.23(4)-Pisum1;5108;5025;23157;16578;2,93;2,45;12,70;9,09
Fyves;Festuca yvesii;UZ_7.23(4)-Pisum2;5028;5333;22862;16219;2,87;2,84;12,81;9,09
Fyves;Festuca yvesii;UZ_7.23(12)-Pisum1;6036;5895;25266;16696;2,23;2,12;13,76;9,09
Fyves;Festuca yvesii;UZ_7.23(12)-Pisum2;5234;5123;25377;16852;2,30;1,92;13,69;9,09
Fnigr;Festuca nigrescens;UZ_44.22(4)-Pisum1;15353;6134;28065;20505;2,72;2,41;12,44;9,09
Fnigr;Festuca nigrescens;UZ_44.22(4)-Pisum2;7537;5797;29472;21549;2,21;2,34;12,43;9,09
Fnigr;Festuca nigrescens;UZ_44.22(1)-Pisum1;7369;5055;26421;18438;2,53;2,28;13,03;9,09
Fnigr;Festuca nigrescens;UZ_44.22(1)-Pisum2;6857;5606;19814;13835;2,70;2,62;13,02;9,09
Fnigr;Festuca nigrescens;UZ_44.22(2)-Pisum1;5059;5035;21095;14832;2,66;2,65;12,93;9,09
Fnigr;Festuca nigrescens;UZ_44.22(2)-Pisum2;5163;5008;20982;14682;2,93;2,86;12,99;9,09
Fnigr;Festuca nigrescens;UZ_44.22(3)-Pisum1;5421;5052;16785;12321;2,72;2,85;12,38;9,09
Fnigr;Festuca nigrescens;UZ_44.22(3)-Pisum2;7218;12454;17152;12454;2,83;2,42;12,52;9,09
Fnigr;Festuca nigrescens;UZ_44.22(4)-Pisum3;5008;5491;21575;15482;2,96;2,79;12,67;9,09
Fnigr;Festuca nigrescens;UZ_44.22(4)-Pisum4;5885;7278;23996;17487;2,64;2,46;12,47;9,09
Fprui;Festuca rubra subsp. pruinosa;UZ_56.22(3)-Pisum1;5598;5388;26690;19600;2,28;2,36;12,38;9,09
Fprui;Festuca rubra subsp. pruinosa;UZ_56.22(3)-Pisum2;9719;6081;27448;20207;2,44;2,43;12,35;9,09
Fprui;Festuca rubra subsp. pruinosa;UZ_56.23(1)-Pisum1;5114;8470;23010;16352;1,95;2,07;12,79;9,09
Fprui;Festuca rubra subsp. pruinosa;UZ_56.23(1)-Pisum2;5184;4850;23796;17025;1,94;1,95;12,71;9,09
Fprui;Festuca rubra subsp. pruinosa;UZ_55.22(4)-Pisum1;5033;5342;19882;14039;2,91;2,84;12,87;9,09
Fprui;Festuca rubra subsp. pruinosa;UZ_55.22(4)-Pisum2;5436;5212;25283;17948;2,03;2,30;12,80;9,09
Fprui;Festuca rubra subsp. pruinosa;UZ_55.22(2)-Pisum1;5065;7361;22606;16043;2,30;2,47;12,81;9,09
Fprui;Festuca rubra subsp. pruinosa;UZ_55.22(2)-Pisum2;6884;5047;24582;17338;2,17;2,41;12,89;9,09
Fprui;Festuca rubra subsp. pruinosa;UZ_55.22(3)-Pisum1;5505;5089;24634;17351;2,32;2,16;12,91;9,09
Fprui;Festuca rubra subsp. pruinosa;UZ_55.22(3)-Pisum2;6669;5065;24913;17518;2,14;1,95;12,93;9,09
Farun;Festuca arundinacea subsp. arundinacea;UZ_2.23(3)-Pisum1;5344;5491;15454;8639;1,81;1,96;16,26;9,09
Farun;Festuca arundinacea subsp. arundinacea;UZ_2.23(3)-Pisum3;7387;5048;14544;8109;2,62;2,52;16,30;9,09
Farun;Festuca arundinacea subsp. arundinacea;UZ_2.23(4)-Pisum1;5023;9696;15277;8511;2,75;2,81;16,32;9,09
Farun;Festuca arundinacea subsp. arundinacea;UZ_2.23(4)-Pisum3;5687;5133;15996;9029;2,21;2,37;16,10;9,09
Farun;Festuca arundinacea subsp. arundinacea;UZ_2.23(5)-Pisum5;7480;5129;13686;7663;2,67;2,87;16,23;9,09
Farun;Festuca arundinacea subsp. arundinacea;UZ_2.23(5)-Pisum7;6324;5501;13210;7422;2,92;2,95;16,18;9,09
Farun;Festuca arundinacea subsp. arundinacea;UZ_2.23(6)-Pisum4;11107;5925;14407;8179;2,79;2,71;16,01;9,09
Farun;Festuca arundinacea subsp. arundinacea;UZ_2.23(6)-Pisum6;8811;5024;14571;8135;2,86;2,74;16,28;9,09
Farun;Festuca arundinacea subsp. arundinacea;UZ_2.23(9)-Pisum1;3626;6593;14759;8343;2,16;2,59;16,08;9,09
Farun;Festuca arundinacea subsp. arundinacea;UZ_2.23(9)-Pisum4;5011;15839;14718;8371;2,46;2,81;15,98;9,09
